name,bikes,stands
164_CALLE LUIS MONTOTO,0,18
025-DALBY,12,2
50018 - CER18 - PORT CERGY (CB),18,9
182 - BOILEAU,14,11
00215 - METRO ARGOULETS,14,6
大手町 OTE-MACHI,7,13
#00114-ROND-POINT MOTEL,5,11
1004-GENERAL DE GAULLE PARADIS,0,0
26 - GOERICH,2,11
44_AVDA. GRAL. URRUTIA,3,16
HANOVER QUAY EAST,15,25
14- GARE CINEMA,4,16
14003 - BRON - PLACE CURIAL,11,14
004_CALLE LEONARDO DA VINCI,1,39
220 - LUTHER KING,12,13
136_CALLE ASUNCIÓN,16,2
11003 - CALUIRE - LA ROCHETTE,19,1
016_COLON I,19,1
3039 - PLACE BIR-HAKEIM,13,6
00022 - HOPITAL ST JULIEN,6,10
00054 - CHAINE,2,15
22-VCUP,0,0
50001 - CER01 - GARE LES HAUTS DE CERGY(CB),14,15
093-FACULTÉS,4,36
263_AVDA DE PALMAS ALTAS,26,4
CUSTOM HOUSE QUAY,7,23
00008 - ESPACE SAINT-GEORGES,7,18
10023 - JAURES SAINT EXUPERY,9,16
176_AVENIDA DE LA CIUDAD JARDÍN,4,14
00180 - PLACE DE SOUPETARD,11,7
5280-CHAVE CAMAS,0,13
17-JOGAILOS,0,0
002 - CROIX DE FEUX,8,7
19- REPUBLIQUE,3,17
210_CALLE_CAMPOS_CRESPO_ESQ_CALLE_JUAN_DE_GARAY,10,5
006 - HOTEL DE VILLE,9,6
044-PALAIS DE JUSTICE,14,17
083_AVENIDA LA BUHAIRA,5,15
45_AVDA. GRAL. URRUTIA,0,15
#00057-BOUILLON,21,13
142 - BIENFAITEURS/WELDOENERS,5,19
MOLESWORTH STREET,12,8
#00004-ROCADE,12,4
048-VERDUN,2,12
002_PLAZA DE LAS BRISAS,12,8
00277 - ZAMENHOF,8,10
GEORGES QUAY,9,11
01 - PARVIS DE LA GARE,24,16
7064-CORNICHE  LE PROPHETE,0,16
096 - HOTEL PRESIDENT,24,1
09 - LA CITY (CB),6,14
015_CALLE DR MARAÑON,8,7
119 - PAQUOT/PACQUOT,5,14
KILMAINHAM LANE,0,30
00214 - CASTRES - ACHIARY,1,16
00114 - MONTPLAISIR - CANAL,8,12
104_AVENIDA EDUARDO DATO,7,13
00002 - LAFAYETTE,20,4
3053 - GAMBETTA / JUSSERAND,4,9
2040 - ST ANTOINE / GRENETTE,7,16
BRATOVŠEVA PLOŠČAD,4,16
264 - NOTRE DAME/ONZE LIEVE VROUW,11,9
8270 - RABATAU ST JOSEPH,0,0
207 - BIESTEBROECK / BIESTEBROEK,11,14
00199 - DELTOUR - RIEUX,0,22
125_C/ MASQUEFA,3,12
180 - JOURDAN,25,0
20002 - OULLINS - MAIRIE,4,14
254 - BASILIQUE / BASILIEK,0,22
310 - SAINT-VINCENT / SINT-VINCENTIUS,12,8
202_PASEO_PECHINA,0,19
236_RIO_SEGRE_RAFAEL_COMPANY,1,14
001-PRÉFECTURE,6,27
12- AMIENS 2,0,18
2024 - RÉPUBLIQUE / MAUPIN,22,3
6-HALĖS TURGAVIETĖ,0,0
135_AVDA. CONSTITUCIÓN,8,12
#00055-SCHAARFEN ECK,5,12
1035 - QUAI LASSAGNE,1,15
00223 - ENAC,15,7
193_AVENIDA DE CORIA,16,4
00164 - BEDOUCE - SAOUZELONG,14,6
212_AVENIDA REINIDO UNIDO,13,2
00051 - DUPORTAL - BRIENNE,18,0
2014 - JACOBINS,18,7
KONGRESNI TRG-ŠUBIČEVA ULICA,14,6
00010 - PLACE ESQUIROL,12,32
00021 - HOPITAL CENTRAL (CB),7,13
00005 - PLACE COLONEL DRIANT (CB),8,8
BS4-STOŽICE,9,11
00035 - PLACE JEANNE D'ARC,4,21
6037 - CITÉ INTERNATIONALE / INTERPOL,6,18
104-ANTILLES,1,23
00250 - 11 NOVEMBRE,3,15
10083 - CHATEAU GAILLARD / BIENVENUS,11,4
2017 - RÉPUBLIQUE / FERRANDIÈRE,12,13
00045 - OZENNE,3,16
8057 - VIENNE / MONTAGNY,7,13
063 - JULES CESAR,11,9
13 - VICTOR HUGO,2,12
MOUNT BROWN,1,7
290 - GARE DE CALEVOET / KALEVOET STATION,9,15
124 - CHARLES GRAUX,1,22
172 - AEROPOLIS,11,14
MARKET STREET SOUTH,0,38
00011 - MAZAGRAN - FOCH (CB),10,16
56401 - COU01 - LA LOUVIERE (CB),5,10
251_ARQUITECTO_SEGURA_LAGO_CAMINO_NUEVO_DE_PICAÑA,14,1
156 - JAMBLINE DE MEUX/JAMBLINNE DE MEUX,5,16
50011 - CER11 - PLACE DE L'HOTEL DE VILLE (CB),3,17
179_RONDA URBANA NORTE,3,16
#00086-PWC - BD KOCKELSCHEUER,4,14
091 - BELGICA,5,20
00083 - SEJOURNE - AMIDONNIERS,14,3
157_AVENIDA_PEREZ_GALDOS,2,18
187_AVDA_AUSIAS_MARCH,3,12
109_AVDA. NARANJOS,16,4
065_AVDA. DEL PUERTO III,5,14
KEVIN STREET,3,37
205_CALLE_NICASIO_BENLLOCH,0,24
03 - MADELEINE (CB),6,9
133_C/ ALFAMBRA,11,4
GERBIČEVA - ŠPORTNI PARK SVOBODA,7,13
ECCLES STREET EAST,2,25
337 - SHOPPING,7,13
3051 - PLACE HENRI,1,12
GRAND CANAL DOCK,39,1
166_RONDA DEL TAMARGUILLO,4,9
197_CALLE_FONTANARS_DELS_AFORINS,1,14
00047 - NAZARETH - LANGUEDOC,6,24
00014 - FAC DE LETTRES (CB),6,13
311 - DELTA,6,16
023 - MAURICE SERVAIS,8,2
018_AVENIDA EDUARDO DATO,7,13
070 - AURORE/DAGERAAD,2,23
#00029-MONTEREY,1,17
099-ST JACQUES,1,14
7014 - MARSEILLE / FÉLISSENT,23,6
MERRION SQUARE EAST,0,30
20- BRANLY,10,10
088_AVDA. BLASCO IBAÑEZ 3,11,29
YORK STREET WEST,39,1
00231 - NARBONNE MARFAING,5,15
00044 - PALAIS NIEL,2,20
#00103-ALZINGEN GÄSSEL,5,8
108-BONNE GARDE,9,15
156_C/ CUBA,9,5
00171 - ROUTE D ALBI - PELET,3,15
005 - BOURSE / BEURS,14,30
ST. STEPHEN'S GREEN SOUTH,18,12
244 - BOIS DE LA CAMBRE,8,12
00016 - PORTE DE LA CRAFFE (CB),12,8
#00049-MARGUERITES,1,19
225_CALLE_PADRE_BARRANCO_DESPUES_CALLE_BENIFAIRO,5,15
322 - PARC DU ROI BAUDOUIN / BOUDEWIJNPARK,4,15
023-BUAT,4,7
8007 - FRÈRES LUMIÈRE,10,5
00162 - PLACE D'ITALIE,0,17
#00105-ITZIG PLATEAU/HUBERTUSPAD,3,10
22- QUATRE CHENES,4,16
170 - RIGA,12,8
12-V. KUDIRKOS AIKŠTĖ,0,0
9006 - THÉÂTRE NOUVELLE GÉNÉRATION,6,5
8262-MAZARGUES-BARRAL,0,10
10032 - PRIMAT / DECORPS,4,9
54902 - VAU02 - MAIRIE CROIX-LIEU(CB),7,19
"092_AVDA. DE ARAGON, 4 - ESQ AVDA BLASCO IBAÑEZ",3,17
8021 - PAUL SANTY,6,10
014 - PORTE DE NAMUR / NAAMSEPOORT,0,40
00031 - SALENQUES,12,7
DENMARK STREET GREAT,4,16
09 - REPUBLIQUE - QUAI CORNEILLE,8,12
298 - HALL DES SPORTS,12,13
#00012-HAMILIUS,3,16
006_CAMINO DE LOS DESCUBRIMIENTOS,5,15
2001 - BELLECOUR / RÉPUBLIQUE,15,3
033_GRAN_VIA_GERMANIAS_ESQ_CALLE_RUZAFA,14,5
099_CALLE AMÉRICO VESPUCIO,8,32
2028 - SAINTE-BLANDINE,16,0
013_CALLE FERIA,14,1
00138 - BARRIERE DE BAYONNE,16,4
020 - PALAIS ROYAL / KONINKLIJK PALEIS,9,10
00216 - ARGOULETS - HOUDON,3,14
080-VICTOR HUGO,7,8
13-A. VIENUOLIO,0,0
069_CALLE JOSE LAGUILLO,14,4
00194 - LOMBEZ - HIPPODROME,6,14
170_PLAZA ANTONIO APARICIO HERRERO,4,14
198_CALLE MAR DE ALBORÁN,0,20
085_AVDA_BLASCO IBAÑEZ 1,23,0
1005-CENTRE BOURSE,0,0
ŽIVALSKI VRT,1,19
25 - STATION MOBILE,10,5
107 - DEFACQZ,11,14
2006 - PLACE DE L'HIPPODROME,20,4
VOKA - SLOVENČEVA,4,16
00009 - PLACE BARROIS (CB),4,13
BTC CITY/DVORANA A,14,6
219_CALLE DE LA A.D.A.,7,7
00098 - PONT DES DEMOISELLES,20,2
35 - EUROPE,3,11
ROYAL HOSPITAL,4,36
281 - ATOMIUM,5,20
137_AVENIDA DE LA BORBOLLA,12,8
00263 - LYCEE POLYVALENT,3,15
06 - MICAUD (CB),7,8
RAZLAGOVA UL. - OBČINA,13,7
#00005-PARAISER PLAZ,7,9
00016 - STRASBOURG - BAYARD,18,3
#00044-ARELER STROOSS,1,15
209 - VEEWEYDE / VEEWEIDE,7,16
3021 - PLACE DE LA FERRANDIÈRE,3,17
068_CALLE JUAN ANTONIO CABESTANY,5,9
211 - METRO CERIA,14,8
162_PZA. ARMADA ESPAÑOLA,13,3
013_PZA. ALFONSO MAGNANIMO_CON_CALLE_LA_NAVE,24,0
364 - DOCKS BRUXSEL,4,16
8059 - LAENNEC / PINEL,2,13
1003 - PLACE SATHONAY,0,22
#00112-ADMINISTRATION COMMUNALE,3,15
132_C/ RUAYA,15,0
00169 - ROUTE D'ALBI - JAFFARY,2,15
2221-91 LIBÉRATION,0,10
2009 - CONFLUENCE / DOCKS,9,16
254_ALHAMBRA,18,12
138_CALLE RAMÓN CARANDE,5,13
194_ESTACION_AVE_JOAQUIN_SOROLLA,16,24
87_AVDA BLASCO IBAÑEZ 2,24,9
240_AVENIDA ALCALDE LUIS URUÑUELA,6,9
2011 - SALA / RUE DU PLAT,11,2
1001 - TERREAUX / TERME,5,11
127 - GRAY/GRAY,9,8
56106 - ERA06 - CENTRE TECHNIQUE MUNICIPAL,4,19
PARTIZANSKA C. - TIC,12,7
GOSPOSVETSKA C. - VRBANSKA C.,9,12
00039 - PLACE DAMLOUP,14,4
010 - ARTHUR MASSON,10,5
00201 - POTEZ -SAINT-EXUPERY,1,17
1016 - PÊCHERIE,6,11
206_CALLE_PERIODISTA_GIL_SUMBIELA,12,3
118-ÉGALITÉ,1,12
7056 - PLACE RASPAIL,11,11
108 - FLAGEY,31,0
223_CALLE_VALLE_BALLESTERA_ESQ_PLAZA_POLICIA_LOCAL,10,10
214_CALLE_SANTA_CRUZ_DE_TENERIFE_ESQ_CALLE_LLOMBA,3,12
25 - PALAIS DES SPORTS,5,6
#00124-CITE RIEDGEN,6,8
TRNOVO,7,13
10103 - DOUA / RUE DES SPORTS,16,13
260_REVOLTOSA,0,18
40_CALLE_BARCAS_FRENTE _TEATRO_PRINCIPAL,0,0
034 - FONTAINAS,23,10
230 - BERKENDAEL / BERKENDAAL,12,12
10080 - VAILLANT / PERRONCEL,14,3
090-PROCÉ,12,3
P+R BARJE,13,7
5032 - MÉNIVAL / EISENHOWER,6,6
061-LIEU UNIQUE,3,12
23- ST ROCH,8,12
044_RONDA CAPUCHINOS,4,11
219_CALLE_CASTAN_TOBEÑAS_ESQ_CALLE_VELAZQUEZ,3,15
19-S. NĖRIES GIMNAZIJA,0,0
084_CALLE JOSÉ MARÍA MORENO GALVÁN,11,9
00198 - LAFILAIRE - DELTOUR,2,18
144 - SAINTE-MARIE/SINTE-MARIA,10,15
032-FOCH,0,14
017-SAINTE ÉLISABETH,0,14
009_PLAZA_TETUAN_4,25,0
3070 - REBATEL / SAINT-MAXIMIN,3,27
010_PLAZA DE SAN MARTIN,6,9
336 - KRAAINEM,8,9
105 - DE HENNIN,15,5
10074 - ZOLA / PASSAGE REY,15,3
MLADINSKA UL. - TRUBARJEVA UL.,3,13
01 - THEATRE DES ARTS,13,12
50022 - CER22 - GARE CERGY GRAND CENTRE (CB),7,20
00101 - CAPT PORT SAINT-SAUVEUR,8,12
245_CALLE LAS LEANDRAS,3,12
074_PLAZA PILATOS,15,0
8015 - JEAN XXIII,9,7
3089 - TRARIEUX / LACASSAGNE,6,18
224 - ROCHEFORT,4,21
00258 - CAMBARD,3,15
5055 - BUYER / APOLLINAIRE,10,12
059_AVDA. DE BALEARES I,3,11
030_CIRILO AMOROS,2,18
029-DUGUAY TROUIN,8,19
00056 - SAINT-SERNIN - MERLY,14,1
00159 - U.R.S.S DEVIC,11,9
24-FORUM PALACE,0,0
091_CALLE_GRABADOR_JORDAN_46_PLAZA_ESCULTOR_PASTOR,4,11
013_CALLE DE SAN FERNANDO,9,16
004_PLAZA_DE_LA_VIRGEN_CALLE_BAILIA,21,3
00072 - FITTE - CUGNAUX,7,13
00146 - SANG DE SERP - DAGNAUX,11,9
SPARTA,21,16
089 - ATHENEE DE JETTE/ATHENEUM VAN JETTE,14,11
164 - KENNIS,9,16
171_CALLE GRAN CANARIA,7,8
06- CHU - RUE DE GERMONT,13,2
15-M. MAŽVYDO BIBLIOTEKA,0,0
117_PRIMADO REIG,12,18
266_PLANA_ALTA_ESQ_AVDA_MAESTRO_RODRIGO,7,11
10048 - PLACE MARENGO,21,6
3-K. SIRVYDO SKVERAS,0,0
328 - HEYDENBERG,16,4
10115 - PLACE D'ESPAGNE / STADE KRUGER,3,19
#00109-FOYER,6,8
10063 - PERRIN / JEAN JAURÈS,5,29
95_AVDA. DE LOS NARANJOS,30,3
018 - CPAS,5,5
ROŽNA DOLINA-ŠKRABČEVA UL.,13,5
10045 - ALSACE ANATOLE FRANCE,3,17
150_CALLE SAN JUAN BOSCO,9,11
042_PLAZA CRONISTA,0,15
022_JUAN_LLORENS_57,14,1
199_MAR DE ALBORÁN,9,11
#00031-PLACE DE FRANCE,15,2
093_RONDA DE TRIANA,12,3
11- PORT D' AMONT,7,13
3085 - SACRE COEUR,12,4
55_AVDA. DE FRANCIA,22,3
113_PLAZA SAN MARTÍN DE PORRES,11,3
250 - SAINTE-ELISABETH,10,15
1000 - TEST BE LYON,1,0
KINO ŠIŠKA,23,3
094_PLAZA DEL ZURRAQUE,15,2
00261 - VAN DYCK - LAUNAGUET,4,14
3024 - ROCKEFELLER / ESQUIROL,0,19
00151 - CURIE - NEGRENEYS,15,9
56101 - ERA01 - LA DANNE,3,7
152_CALLE SAMANIEGO,3,14
014_BARÓN CARCER,19,1
ZALOŠKA C.-GRABLOVIČEVA C.,7,9
BRODARJEV TRG,9,11
052 - SAINCTELETTE,6,28
015 - MONTGOMERY,9,16
090 - BROUSTIN,4,12
00034 - MALZEVILLE (CB),5,10
#00036-J.B. GELLE,12,1
062_MENORCA,12,8
00238 - HERBETTES - BUTTE,17,0
50003 - CER03 - LES ESSARTS (CB),4,16
#00095-MAIRIE DE BERTRANGE,15,5
2041 - SALA / CHARITÉ,16,5
194 - STUYVENBERG,15,10
10086 - ANATOLE FRANCE,9,1
#00010-MÄRELER PARC,8,4
28 - BOULINGRIN,2,18
098_AVENIDA DE ROMA,25,5
7011 - BERTHELOT / GARIBALDI,0,15
144_CALLE_MARQUES_DE_SAN_JUAN,0,15
5024-BAILLE PAURIOL,0,7
HEUSTON STATION (CAR PARK),12,28
00080 - FITTE - VARSI,20,3
GRANGEGORMAN LOWER (NORTH),2,34
10117 - LA PERRALIÈRE,20,2
003_PUERTA DE LA BARQUETA,14,25
89_AVDA. BLASCO IBAÑEZ,2,28
004_CORMORÁN,17,3
DOLENJSKA C. - STRELIŠČE,1,19
019_PARLAMENTO,7,12
ST. STEPHEN'S GREEN EAST,22,18
218 - DELACROIX,5,19
県庁前公園　KENCHOMAE PARK,8,9
50027 - CER27 - MARJOBERTS,5,15
#00039-KRAIZGRENNCHEN,1,12
9041 - CARRET / SÉDALLIAN,7,11
21 - FONDERIE,3,24
STORTORGET,12,9
147_CARRETERA DE CARMONA,10,5
9043 - MARIETTON OUEST,20,0
3091 - HOPITAL NEUROLOGIQUE,6,13
MLINSKA UL . - AVTOBUSNA POSTAJA,10,10
1024 - ROUVILLE,0,17
150 - MEISER/MEISER,11,11
ŠTEPANJSKO NASELJE 1-JAKČEVA ULICA,17,2
203 - DEMOSTHENE,1,14
10035 - BOIRON GRANGER,4,12
HEUSTON STATION (CENTRAL),23,17
189_HOSPITAL_NUEVA_FE,0,30
185_AVENIDA ALCALDE MANUEL DEL VALLE,6,14
旅籠町 HATAGO-MACHI,12,4
TOWNSEND STREET,13,6
SOSESKA NOVO BRDO,1,19
011 - SABLON / ZAVEL,12,5
#00117-SYRDALL SCHWEMM,13,7
5005 - SAINT-PAUL,4,19
025 - PORTE D'ANDERLECHT,1,24
349 - FONSNY,19,1
021-TALENSAC SUD,13,3
087 - MIROIR/SPIEGEL,16,9
063_CALLE SAN PABLO,14,6
4041 - BOUSSANGES / AUSTERLITZ,0,18
152 - PLACE DAILLY/DAILLYPLEIN,10,15
080_AMADEO SAVOIA,18,7
GEORGES LANE,19,21
129_C_ALMAZORA,18,1
6043 - CITÉ INTERNATIONALE / CINÉMA,3,29
00057 - MERLY - ARCOLE,6,9
LUNDS CENTRAL,16,23
204_CALLE DOCTOR LAFFON,3,11
286 - BENS,12,6
015_AV.DE LOS CASTROS 141,9,6
078_CALLE ALFARERIA,17,3
181_CALLE_DEL_SALINAR,5,10
7051 - GUILLOTIERE / NICOLAÏ,7,22
83_PZA. DE LA LEGIÓN ESPAÑOLA,19,6
3088 - PLACE GUICHARD,6,10
212_CALLE_FRAY_JUANÍPERO_SERRA_ESQ_CALLE_TORRENTE,1,14
10059 - ANATOLE FRANCE / ZOLA,12,1
00269 - PLACE SAUVEGRAIN,6,12
#00034-KOLLEISCH,8,17
00285 - METRO BALMA GRAMONT,17,1
8040 - AMBROISE PARÉ,9,15
078_AVDA. ARAGÓN I,2,18
130_GLORIETA REPUBLICA DOMINICANA,18,1
00058 - CONCORDE - ARCOLE,9,16
00272 - ANDRE VASSEUR,14,2
10 - PLACE DE LA PAIX,5,8
26 - SAINT-EXUPERY,11,9
9040 - PLACE RHODIACETA,9,3
145_AVENIDA REINA MERCEDES,6,14
024 - ROGIER / ROGIER,10,26
市役所 CITY HALL,6,12
149_AVDA. PERIS Y VALERO,12,8
239_CALLE CIUDAD DE LIRIA,13,1
029_CARRETERA DE CARMONA,14,1
PHIBSBOROUGH ROAD,6,34
176_CAMINO_DE_MONCADA_52,5,15
188 - OSSEGHEM,13,11
050-CHÂTEAU,12,4
00003 - PLACE DE DOMBASLE (CB),25,3
00095 - THEATRE GARONNE,10,12
TRŽNICA KOSEZE,8,10
023_GRAN_VIA_FERNANDO_EL_CATOLICO,0,19
037-FÉLIX ÉBOUÉ,8,19
198 - SCHEUT,20,5
071-TALENSAC NORD,3,11
010_CALLE_DEL_HOSPITAL_FRENTE_CALLE_HORNO_DEL_HOSP,12,3
ALEJA - CELOVŠKA CESTA,6,14
00222 - CAMBOU - ROCHE,10,10
8246-PARADIS - LORD DUVEEN,0,10
6016 - VIABERT / THIERS,1,15
05 - ISEMBART,9,1
086-HAUTS PAVÉS,1,14
50020 - CONSEIL GÉNÉRAL,8,10
182_CALLE VICTORIA KENT,2,12
6008 - PLACE JULES FERRY,3,17
041-BRUNELIÈRE,7,8
265 - EVERE SHOPPING,11,14
031_AVENIDA DE MIRAFLORES,0,12
060_AVDA.BALEARES II,12,7
00092 - CHALETS,0,15
229_CALLE_AITANA_ESQ_AVDA_BURJASSOT,2,14
012-DELORME,0,20
00038 - JAURES - BACHELIER,18,13
001_JARDINES DE PEREDA,21,19
#00063-LABOURS,6,13
1275- JULIEN - 3 MAGES,0,0
139_C/ REUS,10,4
098-HUIT MAI,5,10
13 - MARCHE,11,4
2019 - SUCRIERE,6,14
172_RONDA TAMARGUILLO,4,11
356 - CENTRE SPORTIF,7,9
5004 - SAINT-JEAN,37,1
223 - WIELS,9,16
00140 - PLACE EMILE MALE,1,28
10030 - GREUZE,12,6
ECCLES STREET,0,20
253 - REINE FABIOLA / KONINGIN FABIOLA,12,13
158_AVENIDA CARDENAL BUENO MONREAL,3,16
10118 - VOYANT / CHAMBFORT,10,12
059 - PLACE ST-JOSSE/ST-JOOSTPLEIN,22,0
8060 - SANTY / BEAUVISAGE,14,3
1022 - PLACE TOLOZAN,10,26
069_AVDA. DEL PUERTO,22,3
179 - CELTES/KELTEN,20,23
245_9_DE_OCTUBRE_CIEZA,0,20
00026 - BAUDRICOURT HAUSSONVILLE,1,14
MERCATOR CENTER ŠIŠKA,20,2
3031 - CORNEILLE / SERVIENT,8,5
01 - SAINT PIERRE,16,4
10001 - IUT / FEYSSINE,27,3
270_CALLE_NINOT_ESQ_PZA_REGINO_MAS,1,15
00024 - 3 MAISONS - CHARLES V (CB),17,5
00023 - PROMENADE DES CANAUX,3,13
029_PLAZA AMERICA,19,1
3043 - PLACE ROUGET DE L'ISLE,11,3
151 - LOUVAIN 488-494/LEUVEN 488-494,15,9
6001 - GARE DES BROTTEAUX,11,5
20001 - OULLINS - GARE,40,0
LJUBLJANSKA UL. - II. GIMNAZIJA,2,18
10114 - BEL AIR / LES BROSSES,1,19
163_CALLE SINAÍ,5,8
PORTOBELLO HARBOUR,4,26
255 - SACRE-COEUR DE GANSHOREN,14,11
00004 - SAINTE-URSULE,4,16
2017 - LUX PARC EXPO,3,1
026-GUIST'HAU SUD,1,14
GH ŠENTPETER-NJEGOŠEVA C.,14,10
3228 -TOUR LA MARSEILLAISE,0,18
07 - GARE MOUILLERE,9,9
38_AVDA. PERIS Y VALERO,15,5
50002 - CER02 - AVENUE DU HAZAY,4,20
4008 - CLOS SAVARON,0,0
16-TAURO KALNAS,0,0
034 - ROGIER,10,6
252_DE_LOS_GREMIOS_CAMPOS_CRESPO,16,4
00136 - FONTAINES,6,9
10071 - LYCÉE MARIE CURIE,5,10
10038 - CONDORCET,6,17
176 - COLONEL BOURG/KOLONEL BOURG,11,12
#00076-SAUVAGE,3,10
10060 - SAINT EXUPÉRY,6,9
4005 - PLACE BERTONE,0,12
#00041-PLACE LAURENT,0,19
00176 - GENERAL COMPANS,0,18
HOFER - POLJE,9,11
MATER HOSPITAL,1,39
042 - PORTE DE NINOVE /NINOOFSEPOORT,16,9
115 - PETITE SUISSE/KLEIN ZWITSERLAND,14,9
6187-DELPUECH CORINTHE,0,15
16-ILE LACROIX,12,8
50101 - PÔLE GARE (CB),5,14
156_AVENIDA KANSAS CITY,4,16
00142 - LYCEE DEODAT DE SEVERAC,6,14
111-DIDEROT,9,11
00237 - CNRS,16,3
00007 - PLACE ST EPVRE  (CB),10,10
7031 - JAURÈS / GERLAND,17,1
192_CTRA_MALILLA,17,3
153_C/ LLANO DE ZAIDA,21,3
#00028-CHARLY'S GARE,0,19
00032 - MEDREVILLE (CB),0,15
50014 - CER14 - AVENUE DU NORD,6,14
00028 - PLACE SAINT-PIERRE,19,3
075 - GENERAL BARON/GENERAAL BARON,14,8
196 - PRINCE DE LIEGE / PRINS VAN LUIK,18,6
50006 - CER06 - LE CHAT PERCHÉ,5,11
224_PLAZA_JOSE_MONFORTE_TUDELA_ESQ_CALLE_HERNANDEZ,2,18
00182 - CHAUBET,12,8
161_AVENIDA ALCALDE MANUEL DEL VALLE,17,3
9050 - ALLEE DE L'EUROPE,1,10
023_PARLAMENTO,1,13
00094 - SEMARD GARE ROUTIERE,1,24
113_ETS CAMINOS,3,35
208_CALLE_CARTEROS_ESQ_CALLE_MOSSEN_FEBRER,16,3
10087 - BARATIN,3,9
VIŠKO POLJE,5,15
080 - CERES,7,12
#00002-GARE CENTRALE 2,13,5
50_AVDA. AUTOPISTA DEL SALER,18,21
142_C/ GREGORIO GEA (PEATONAL),9,16
121 - ETANGS / VIJVERS,19,5
4026 - BIRMINGHAM,14,2
095 - PLACE BOCKSTAEL/BOCKSTAELPLAATS,13,12
120_GLORIETA SAN DIEGO,12,3
STORTORGET,0,17
00206 - LEYGUE - RIEUX,3,15
7-STOTIS,0,0
002 - ELOY/ELOY,14,11
10041 - KIMMERLING,1,15
269_CAMPAMENTO_81,5,10
008_CALLE AMERICO VESPUCIO,8,12
103_RUBEN DARIO,1,13
2020 - MUSÉE DES CONFLUENCES,3,17
051 - MIDI FONSNY/ZUID FONSNY,19,4
13- SAINT SEVER,14,6
#00099-CAMPUS CENTS,3,16
052-BACO,8,7
17003 - ST FONS - THEATRE,17,1
4001 - CONSERVATOIRE BIS,20,2
00127 - BEGUE - DEMOISELLES,6,9
011_PZA_AYTO_CON_CALLE_COTANDA,0,0
00279 - GUY ESPAGNO,15,3
03- VIEUX MARCHE,8,16
201 - PETERBOS,14,11
富山大学前 TOYAMA UNIVERSITY MAE,10,35
00088 - DUPORTAL - LASCROSSES,6,19
#00083-PULVERMÜHL,17,2
2-BARBOROS RADVILAITĖS,0,0
242_LA_SAFOR_AVDA_MAESTRO_RODRIGO,0,15
250_AVDA_TRES_CRUCES_PIO_XI,13,2
10043 - SALENGRO / FEYSSINE,11,9
120-ROND-POINT DE PARIS,6,24
BONIFACIJA,2,19
081 - PONT BOCKSTAEL/BRUG BOCKSTAEL,9,15
037 - POELAERT / POELAERT,13,12
148 - GARE MEISER/MEISER STATION,7,14
BOTANISKA TRÄDGÅRDEN,8,12
262 - PLACE DE LA PAIX/VREDEPLAIN,5,15
071 - LEGRAND,6,15
354 - TRIOMPHE / TRIOMF,10,9
006_FACULDAD DE CIENCIAS,13,12
5007 - PLACE DE TRION,6,9
002_CALLE_SALVADOR_GINER_CALLE_MUSEO,13,2
7212-SAINTE - NOTRE DAME,0,10
210_PASEO DE EUROPA,14,0
039-QUAI MONCOUSU,14,10
035-JEAN V,1,14
3015 - SERVIENT / GARIBALDI,7,24
00251 - BLUM - JOUHAUX,0,20
016_SEVERO OCHOA,11,9
8202-397 PRADO,0,10
8037 - CAZENEUVE,3,15
3010 - PART-DIEU / CUIRASSIERS (FAR),15,18
39-ŠIAURĖS MIESTELIS,0,0
05 - METZ,3,12
011-CALVAIRE,0,15
293 - KEYM,17,8
280 - HEYSEL / HEISEL,13,12
#00051-SAUERWISS,9,6
7018 - LYCEE LOUISE LABE,8,12
030_AVENIDA EDUARDO DATO,5,14
182_AVDA_AUSIAS_MARCH,4,16
BLESSINGTON STREET,2,18
00226 - FONTAINES - CASSELARDIT,15,2
54905 - VAU05 - LES TOUPETS,3,19
2015 - RÉPUBLIQUE / STELLA,8,19
29 - BELFORT,2,10
23 - HASENRAIN,1,14
南口駅前広場STATION PLAZA SOUTH ENTRANCE,20,6
071_AVENIDA KANSAS CITY,12,6
10056 - 11 NOVEMBRE / GASTON BERGER,15,20
3029 - PLACE ARISTIDE BRIAND,35,2
10061 - RÉPUBLIQUE,12,5
4003 - PLACE COMMANDANT  ARNAUD,0,17
108_AVENIDA EDUARDO DATO,14,1
7064 - CROUS,3,13
JAMES STREET,1,39
282 - CENTENAIRE / EEUWFEEST,13,12
064 - VETERINAIRES,13,12
#00090-HUBERTY (MÜHLENBACH),10,7
030 - LAEKEN / LAKEN,11,13
4017 - PLACE DES TAPIS,0,16
34001 - NEUVILLE - QUAI PASTEUR,13,7
002_GRAN PLAZA,3,15
3068 - FAURE / MEYNIS,13,15
3082 - SAXE / MONCEY,16,11
222_AVDA_MAESTRO_RODRIGO_ESQ_AVDA_MANUEL_DE_FALLA,4,15
068 - JEAN REY,8,22
00091 - ARCOLE - BALANCE,5,16
93_AVADA_BLASCO_IBAÑEZ_DESP_C_POETA_DURAN_TORTAJAD,4,34
10046 - CHARMETTES/ZOLA,12,11
057_CALLE PINTOR MONLEON,0,19
037_ALAMEDA DE HÉRCULES,8,12
222 - MERCKX,17,7
233_AVENIDA ALCALDE LUIS URUÑUELA,10,5
033 - MORT SUBITE,21,1
00122 - PASSERELLE HAEDENS,14,5
#00020-COQUE,3,16
#00098-CITY CONCORDE,9,10
