name,bikes,stands
8056 - DELORE / AUDIBERT ET LAVIROTTE,15,2
009_CAMINO DE LOS DESCUBRIMIENTOS,1,19
10119 - VILLEURBANNE SAINT-JEAN,4,7
02279 - DOCKS LES TERRASSES DU PORT,4,18
347 - ERASME,18,7
119_AVENIDA DE CHILE,10,8
#00023-REIMERWEE,1,17
00003 - POMME,2,16
7053 - JAURÈS / THIBAUDIÈRE,23,5
00139 - BARRIERE DE LOMBEZ,11,14
00093 - PRINTEMPS,1,16
172_AVENIDA_PIO_XII,2,18
283 - PISCINE / ZWEMBAD,11,3
SKEDSMO VGS,0,20
00081 - JARDIN RAYMOND VI,27,6
3012 - PLACE DU CHÂTEAU,0,25
4009 - JACQUARD / DENFERT-ROCHEREAU,2,12
00060 - ROQUELAINE,17,7
1-ARKIKATEDRA,0,0
125 - GEORGES BRUGMANN,14,11
ALLHELGONAKYRKAN,6,15
246 - GATTI DE GAMOND,6,13
274_MANUEL_ANDRES_CASTELL_DE_POLOP,4,11
10089 - COLIN / PERRONCEL,15,0
074-CANCLAUX,12,3
00036 - PLACE SCHUMAN,8,11
140 - AZALEES/AZALEA,12,13
00227 - METRO UPS - TELEO,2,30
00248 - BOUQUETINS - ROSTAND,12,8
117-MAIRIE DE CHANTENAY,0,15
335 - THIRY,8,10
033_CALLE LEÓN XIII,1,14
279 - HOUBA BRUGMANN,12,13
#00108-EDELECK,8,11
00053 - PLACE SAINT-JULIEN,3,22
012 - TRONE / TROON,0,31
1031 - PLACE DE LA PAIX,4,15
200_CAMINO DE LOS TOROS,13,7
3037 - PAUL BERT / GARIBALDI,4,17
072-BELLAMY-GUÉ MOREAU,2,13
8035 - SANS SOUCI,5,15
1344 - FLAMMARION NATIONAL,0,0
040-MADELEINE,6,15
018 - GUTENBERG / GUTENBERG,20,5
04- PLACE AU FEURRE,8,12
177 - CHASSEURS ARDENNAIS/ARDENSE JAGERS,2,22
00187 - DESBALS - MONT DORE,7,10
00087 - LASCROSSES - LECLERC,13,12
5045 - VALDO / RIVET,4,14
175 - BEEKKANT,15,10
#00121-RUE KIEM,0,5
217_CALLE_9_DE_OCTUBRE_ESQ_CALLE_PINTOR_STOLZ,0,25
TEHNOLOŠKI PARK,8,12
13001 - DECINES - CENTRE,13,6
LTH,13,11
081_DOCTOR FORNOS,10,10
077_PLAZA CHAPINA,18,2
028_NAVARRO REVERTE,29,0
131_CALLE SANTA AMALIA  2,4,15
6035 - CITÉ INTERNATIONALE,1,20
PARNELL STREET,16,4
308 - TIVOLI,12,7
#00075-BEINCHEN,9,6
1036 - AVEYRON,0,16
249_CALLE NAVARRA,2,12
#00045-AUBEPINES,11,8
6022 - PLACE MARÉCHAL LYAUTEY,3,17
001_GUILLEN_DE_CASTRO,24,0
087_PLAZA NUEVA,29,10
00225 - BELIN - ONERA,18,2
48_AVDA. ANTONIO FERRANDIS,17,3
9020 - BOURBONNAIS,9,3
350 - VERHEYLEWEGHEN,13,9
007 - PARC / PARK,0,25
FREDERICK STREET SOUTH,38,2
00121 - SERRES - A.BERNARD,4,13
2027 - PERRACHE EST,8,11
FOWNES STREET UPPER,30,0
2016 - PLACE REGAUD,11,1
00084 - BRIENNE - MANUFACTURE,15,9
019-SAINT SIMILIEN,0,15
50017 - CER17 - CERGY VILLAGE CENTRE,9,5
8068-PRADO BORELY,0,6
KOSEŠKI BAJER,9,11
#00068-UM SCHLASS,2,10
00208 - LIMAYRAC - DARASSE,0,18
106-GARENNES,0,14
321 - SACRE-CŒUR DE/HEILIGE HART VAN JETTE,9,10
00131 - BERNIES - ROUTE DE BLAGNAC,8,11
3080 - PART-DIEU / VILLETTE,1,29
33-LIETUVOS VAIKŲ IR JAUNIMO CENTRAS,0,0
193 - GARE DE L'OUEST,15,15
330 - VANDERVELDE,14,10
14 - JACOBINS,0,10
112_AVDA. DE LOS NARANJOS,3,37
#00027-MERCIER,9,1
00239 - LESPINET - HERBETTES,3,22
5029 - PLACE GERSON,2,18
001 - OCTAVE HENRY,8,7
1216-SAINTE - LULLI,0,15
188_AVENIDA HYTASA,18,2
079 - LOI / WET,10,12
00001 - POIDS DE L'HUILE,14,5
00037 - SAINTE-LUCIE,1,17
00007 - PLACE VICTOR HUGO,17,8
00259 - PLACE RICHE,6,14
10-KALNŲ PARKAS,0,0
114 - SAISONS/JAARGETIJDEN,10,15
339 - MEUDON,15,7
051-TABARLY,12,8
22 - ST SAUVEUR,2,9
10- PLACE CARNOT,8,7
089-SAINT-AIGNAN,12,1
2004 - PERRACHE / CARNOT,9,9
50004 - CER04 - LE BON TEMPS,4,11
10079 - ANATOLE FRANCE / BARBUSSE,20,0
112-PÔLE SOCIAL MARION CAHOUR,5,10
036_AVENIDA TORNEO,14,6
285 - COGHEN,9,14
122_C_MÚSICO HIPÓLITO MARTÍNEZ,1,7
14001 - BRON - CENTRE NAUTIQUE,6,7
38-ŠILO TILTAS,0,0
232 - DOMAINE / DOMEIN,15,10
50024 - CER24 - CROIX PETIT,13,5
00234 - LOUIN - RAYNAL,8,7
7009 - JEAN JAURÈS,9,7
014_ATILANO RODRIGUEZ,11,19
030 - PLACE LOUISE GODIN,7,7
7045 - PARC DES BERGES,5,20
23-EUROPOS AIKŠTĖ,0,0
077-ÉCOLE D'ARCHITECTURE,3,29
14 - SCHUMANN,0,18
243_ALBACETE_ESQ_MALUQUER,0,18
00192 - ROUTE DE ST SIMON - PRADO,8,12
38 - WANNE,3,7
24- COLISEUM,15,5
00048 - PLACE DU SALIN,0,31
富山駅北 TOYAMA STATION NORTH,8,8
082_GUILLEN_DE_CASTRO_TORRES_DE_QUART,14,1
165_PAVIA 2,5,15
GALTEN,11,9
25- LA HOTOIE,10,10
CLARENDON ROW,24,7
106_AVDA. DE LOS NARANJOS,9,16
191 - ARTAN,12,10
3101 - PATINOIRE BARABAN,5,14
265_C_ALCASSER_POETA_ALBERTO_LISTA,0,15
TIVOLI,0,20
20 - AUBERGE DE JEUNESSE,14,1
4021 - TABAREAU,0,10
53002 - PON02 - PLACE DE LA LIBÉRATION,5,15
50026 - CER26 - BEAUX SOLEILS,2,17
021_CALLE MANUEL VILLALOBOS,1,19
00266 - TOURAINE,7,13
00175 - METRO BORDEROUGE - MAUNOURY,14,16
042-GARE MARITIME,1,27
087-ANATOLE FRANCE,2,13
221 - CURIE,11,14
09 - NESSEL,6,9
3103 - PLACE DANTON,13,4
153 - SQUARE ARMAND STEURS,12,13
047-MARTYRS NANTAIS,2,25
#00062-LEYDENBACH,9,10
#00115-CENTRE CULTUREL CAP,4,10
#00082-GARE CENTS-HAMM,8,12
6031 - LAFAYETTE / CORNEILLE,7,6
238_SAN_JOSE_ARTESANO_FRANCISCO_MOROTE_GREUS,1,14
154_AVENIDA KANSAS CITY,19,1
097 - KARREVELD,10,15
00166 - METRO RANGUEIL - GUYOU,17,3
00135 - BONNEFOY - LEMAITRE,14,4
169 - GEORGES EEKHOUD,11,14
109-CLOS TOREAU,10,11
043 - JOSEPH II / JOZEF II,9,16
028 - EXPO,5,10
47_AVDA. AUTOPISTA DEL SALER,9,9
063_AVDA. DEL PUERTO I,10,10
00079 - PLACE LANGE,19,1
10018 - TOLSTOÏ / FLORIAN,7,14
9049 - SERGENT BERTHET / GORGE DE LOUP,15,1
102-GARE DE PONT ROUSSEAU,7,13
PARTIZANSKA C. - ŽELEZNIŠKA POSTAJA,1,19
#00119-RIEDGEN,3,3
3017 - SAXE / DUNOIR,13,24
56_AVDA. DE FRANCIA,15,0
00210 - TERRASSE - CENTRE COMMERCIAL,6,12
01 - LATTRE DE TASSIGNY,4,21
9009 - BERLIOZ / CHALINEL,10,5
082 - PANNENHUIS,10,10
113-MAIRIE DE REZÉ,10,11
00075 - CHATEAU D'EAU,8,13
